date,country,energy
2022-06,ES,120.88
2022-07,ES,122.66
2022-08,ES,123.77
2022-09,ES,124.09
2022-10,ES,125.0
2022-11,ES,126.11
2022-12,ES,129.11
2023-01,ES,129.59
2023-02,ES,131.39
2023-03,ES,131.97
2023-04,ES,132.43
2023-05,ES,132.58
2023-06,ES,132.9
2023-07,ES,132.76
2023-08,ES,133.05
2023-09,ES,132.93
2023-10,ES,132.99
2023-11,ES,133.01
2023-12,ES,133.57
2018-01,FR,100.82
2018-02,FR,100.73
2018-03,FR,100.84
2018-04,FR,100.9
2018-05,FR,101.23
2018-06,FR,101.54
2018-07,FR,101.67
2018-08,FR,101.87
2018-09,FR,101.84
2018-10,FR,101.86
2018-11,FR,101.94
2018-12,FR,102.15
2019-01,FR,102.37
2019-02,FR,102.61
2019-03,FR,102.87
2019-04,FR,103.01
2019-05,FR,103.03
2019-06,FR,103.16
2019-07,FR,103.03
2019-08,FR,103.16
2019-09,FR,103.04
2019-10,FR,103.1
2019-11,FR,103.15
2019-12,FR,103.19
2020-01,FR,103.2
2020-02,FR,103.16
2020-03,FR,103.28
2020-04,FR,105.05
2020-05,FR,104.41
2020-06,FR,103.94
2020-07,FR,103.67
2020-08,FR,103.58
2020-09,FR,103.36
2020-10,FR,103.3
2020-11,FR,103.29
2020-12,FR,103.36
2021-01,FR,103.41
2021-02,FR,103.48
2021-03,FR,103.76
2021-04,FR,103.93
2021-05,FR,104.01
2021-06,FR,103.8
2021-07,FR,103.93
2021-08,FR,104.14
2021-09,FR,104.0
2021-10,FR,104.19
2021-11,FR,104.71
2021-12,FR,105.24
2022-01,FR,106.08
2022-02,FR,106.43
2022-03,FR,107.34
2022-04,FR,108.22
2022-05,FR,109.87
2022-06,FR,110.74
2022-07,FR,111.81
2022-08,FR,113.57
2022-09,FR,114.22
2022-10,FR,115.75
2022-11,FR,116.85
2022-12,FR,117.76
2023-01,FR,119.87
2023-02,FR,121.24
2023-03,FR,123.43
2023-04,FR,124.84
2023-05,FR,125.48
2023-06,FR,125.78
2023-07,FR,125.97
2023-08,FR,126.37
2023-09,FR,126.37
2023-10,FR,126.36
2023-11,FR,126.57
2023-12,FR,126.4
2018-01,IT,101.6
2018-02,IT,100.4
2018-03,IT,101.0
2018-04,IT,101.8
2018-05,IT,101.3
2018-06,IT,102.0
2018-07,IT,101.7
2018-08,IT,102.1
2018-09,IT,101.2
2018-10,IT,101.0
2018-11,IT,101.4
2018-12,IT,100.7
2019-01,IT,101.5
2019-02,IT,101.2
2019-03,IT,101.3
2019-04,IT,101.5
2019-05,IT,101.8
2019-06,IT,102.0
2019-07,IT,102.2
2019-08,IT,102.6
2019-09,IT,101.5
2019-10,IT,101.5
2019-11,IT,101.7
2019-12,IT,101.3
2020-01,IT,101.7
2020-02,IT,101.4
2020-03,IT,102.5
2020-04,IT,103.2
2020-05,IT,103.4
2020-06,IT,103.2
2020-07,IT,102.7
2020-08,IT,102.8
2020-09,IT,101.7
2020-10,IT,101.4
2020-11,IT,102.0
2020-12,IT,101.9
2021-01,IT,102.3
2021-02,IT,101.5
2021-03,IT,102.2
2021-04,IT,102.4
2021-05,IT,102.3
2021-06,IT,102.5
2021-07,IT,102.7
2021-08,IT,103.0
2021-09,IT,102.5
2021-10,IT,102.7
2021-11,IT,104.1
2021-12,IT,105.0
2022-01,IT,106.2
2022-02,IT,106.9
2022-03,IT,108.4
2022-04,IT,110.7
2022-05,IT,112.0
2022-06,IT,114.3
2022-07,IT,116.4
2022-08,IT,117.7
2022-09,IT,118.1
2022-10,IT,120.2
2022-11,IT,122.1
2022-12,IT,123.5
2023-01,IT,124.8
2023-02,IT,126.3
2023-03,IT,127.3
2023-04,IT,128.0
2023-05,IT,128.5
2023-06,IT,128.7
2023-07,IT,128.9
2023-08,IT,129.4
2023-09,IT,128.3
2023-10,IT,128.0
2023-11,IT,128.1
2023-12,IT,128.1
2018-01,DE,99.93
2018-02,DE,101.81
2018-03,DE,102.95
2018-04,DE,103.3
2018-05,DE,102.75
2018-06,DE,103.51
2018-07,DE,103.69
2018-08,DE,104.12
2018-09,DE,103.75
2018-10,DE,104.26
2018-11,DE,103.78
2018-12,DE,104.42
2019-01,DE,104.6
2019-02,DE,106.19
2019-03,DE,107.58
2019-04,DE,108.15
2019-05,DE,108.36
2019-06,DE,108.41
2019-07,DE,109.21
2019-08,DE,107.69
2019-09,DE,108.59
2019-10,DE,108.69
2019-11,DE,108.59
2019-12,DE,108.35
2020-01,DE,108.6
2020-02,DE,108.04
2020-03,DE,109.38
2020-04,DE,109.69
2020-05,DE,112.34
2020-06,DE,111.23
2020-07,DE,108.78
2020-08,DE,109.01
2020-09,DE,108.26
2020-10,DE,108.45
2020-11,DE,109.36
2020-12,DE,109.42
2021-01,DE,111.35
2021-02,DE,112.44
2021-03,DE,112.49
2021-04,DE,113.24
2021-05,DE,112.78
2021-06,DE,112.51
2021-07,DE,112.85
2021-08,DE,112.24
2021-09,DE,113.6
2021-10,DE,112.51
2021-11,DE,112.51
2021-12,DE,111.87
2022-01,DE,112.63
2022-02,DE,113.97
2022-03,DE,114.31
2022-04,DE,120.62
2022-05,DE,125.57
2022-06,DE,126.4
2022-07,DE,127.86
2022-08,DE,134.88
2022-09,DE,135.62
2022-10,DE,138.71
2022-11,DE,139.66
2022-12,DE,139.96
2023-01,DE,140.61
2023-02,DE,140.6
2023-03,DE,141.8
2023-04,DE,144.39
2023-05,DE,149.0
2023-06,DE,150.93
2023-07,DE,152.08
2023-08,DE,150.86
2023-09,DE,153.75
2023-10,DE,155.07
2023-11,DE,154.26
2023-12,DE,155.06
2018-01,ES,101.46
2018-02,ES,101.93
2018-03,ES,100.49
2018-04,ES,101.85
2018-05,ES,102.75
2018-06,ES,101.13
2018-07,ES,101.29
2018-08,ES,101.89
2018-09,ES,101.98
2018-10,ES,101.99
2018-11,ES,102.21
2018-12,ES,101.93
2019-01,ES,102.45
2019-02,ES,100.95
2019-03,ES,101.14
2019-04,ES,102.52
2019-05,ES,103.13
2019-06,ES,102.27
2019-07,ES,102.02
2019-08,ES,102.26
2019-09,ES,103.06
2019-10,ES,101.87
2019-11,ES,102.76
2019-12,ES,101.74
2020-01,ES,103.47
2020-02,ES,102.29
2020-03,ES,102.59
2020-04,ES,103.84
2020-05,ES,104.23
2020-06,ES,103.05
2020-07,ES,103.33
2020-08,ES,103.5
2020-09,ES,103.67
2020-10,ES,103.46
2020-11,ES,103.28
2020-12,ES,103.37
2021-01,ES,103.68
2021-02,ES,103.19
2021-03,ES,102.51
2021-04,ES,103.23
2021-05,ES,103.66
2021-06,ES,103.4
2021-07,ES,104.01
2021-08,ES,103.75
2021-09,ES,104.0
2021-10,ES,103.52
2021-11,ES,103.97
2021-12,ES,106.12
2022-01,ES,111.93
2022-02,ES,112.87
2022-03,ES,113.23
2022-04,ES,113.8
2022-05,ES,114.21
2022-06,ES,113.84
2022-07,ES,114.49
2022-08,ES,114.89
2022-09,ES,117.68
2022-10,ES,120.11
2022-11,ES,119.9
2022-12,ES,129.16
2023-01,ES,133.89
2023-02,ES,136.77
2023-03,ES,138.32
2023-04,ES,139.98
2023-05,ES,138.72
2023-06,ES,138.76
2023-07,ES,139.64
2023-08,ES,139.66
2023-09,ES,139.48
2023-10,ES,140.09
2023-11,ES,140.41
2023-12,ES,140.23
2018-01,FR,94.77
2018-02,FR,94.89
2018-03,FR,94.98
2018-04,FR,95.3
2018-05,FR,95.93
2018-06,FR,96.67
2018-07,FR,96.88
2018-08,FR,96.86
2018-09,FR,97.09
2018-10,FR,97.71
2018-11,FR,97.47
2018-12,FR,98.01
2019-01,FR,97.96
2019-02,FR,97.87
2019-03,FR,98.01
2019-04,FR,97.9
2019-05,FR,97.57
2019-06,FR,96.98
2019-07,FR,97.14
2019-08,FR,97.35
2019-09,FR,96.8
2019-10,FR,97.06
2019-11,FR,97.04
2019-12,FR,96.45
2020-01,FR,96.09
2020-02,FR,97.14
2020-03,FR,98.08
2020-04,FR,97.83
2020-05,FR,98.41
2020-06,FR,97.32
2020-07,FR,97.71
2020-08,FR,97.87
2020-09,FR,97.21
2020-10,FR,97.04
2020-11,FR,97.77
2020-12,FR,98.38
2021-01,FR,97.21
2021-02,FR,97.71
2021-03,FR,97.39
2021-04,FR,97.23
2021-05,FR,97.57
2021-06,FR,97.57
2021-07,FR,97.55
2021-08,FR,97.62
2021-09,FR,96.94
2021-10,FR,97.26
2021-11,FR,97.87
2021-12,FR,98.39
2022-01,FR,98.59
2022-02,FR,99.11
2022-03,FR,99.82
2022-04,FR,100.45
2022-05,FR,103.37
2022-06,FR,104.28
2022-07,FR,105.91
2022-08,FR,107.33
2022-09,FR,108.86
2022-10,FR,111.05
2022-11,FR,113.54
2022-12,FR,114.37
2023-01,FR,115.77
2023-02,FR,118.29
2023-03,FR,121.03
2023-04,FR,123.48
2023-05,FR,124.35
2023-06,FR,123.92
2023-07,FR,125.31
2023-08,FR,125.67
2023-09,FR,125.7
2023-10,FR,125.79
2023-11,FR,126.15
2023-12,FR,126.33
2018-01,IT,102.6
2018-02,IT,101.5
2018-03,IT,100.9
2018-04,IT,102.2
2018-05,IT,101.3
2018-06,IT,102.4
2018-07,IT,103.0
2018-08,IT,102.8
2018-09,IT,100.1
2018-10,IT,100.5
2018-11,IT,100.5
2018-12,IT,99.7
2019-01,IT,101.3
2019-02,IT,102.6
2019-03,IT,100.8
2019-04,IT,103.3
2019-05,IT,103.0
2019-06,IT,104.2
2019-07,IT,103.7
2019-08,IT,103.4
2019-09,IT,101.7
2019-10,IT,101.3
2019-11,IT,101.7
2019-12,IT,101.2
2020-01,IT,102.6
2020-02,IT,102.0
2020-03,IT,103.1
2020-04,IT,104.1
2020-05,IT,104.0
2020-06,IT,103.9
2020-07,IT,103.0
2020-08,IT,103.0
2020-09,IT,102.1
2020-10,IT,102.2
2020-11,IT,101.9
2020-12,IT,102.0
2021-01,IT,103.1
2021-02,IT,102.4
2021-03,IT,102.0
2021-04,IT,103.0
2021-05,IT,103.5
2021-06,IT,104.1
2021-07,IT,104.0
2021-08,IT,104.1
2021-09,IT,103.5
2021-10,IT,103.7
2021-11,IT,104.1
2021-12,IT,104.8
2022-01,IT,106.3
2022-02,IT,106.9
2022-03,IT,108.4
2022-04,IT,111.2
2022-05,IT,115.2
2022-06,IT,119.4
2022-07,IT,124.4
2022-08,IT,127.7
2022-09,IT,130.9
2022-10,IT,134.4
2022-11,IT,139.1
2022-12,IT,142.1
2023-01,IT,145.1
2023-02,IT,147.4
2023-03,IT,149.4
2023-04,IT,150.3
2023-05,IT,152.4
2023-06,IT,153.1
2023-07,IT,153.6
2023-08,IT,154.2
2023-09,IT,151.3
2023-10,IT,150.1
2023-11,IT,148.5
2023-12,IT,147.2
2018-01,DE,101.67
2018-02,DE,102.22
2018-03,DE,102.97
2018-04,DE,103.21
2018-05,DE,104.27
2018-06,DE,104.36
2018-07,DE,105.15
2018-08,DE,105.18
2018-09,DE,105.28
2018-10,DE,105.41
2018-11,DE,104.19
